F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -   292 -      ?        00:00:00 init
5 S     0     8     1  0  80   0 -   313 -      ?        00:00:00 init
1 S     0     9     8  0  80   0 -   315 -      ?        00:00:00 init
4 S  1000    10     9  0  80   0 -  4072 sigsus pts/0    00:00:00 zsh
5 S     0   113     1  0  80   0 -   316 -      ?        00:00:00 init
1 S     0   114   113  0  80   0 -   316 -      ?        00:00:00 init
4 S  1000   115   114  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 S  1000   116   115  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 S  1000   121   116  0  80   0 -   653 do_wai pts/1    00:00:00 sh
0 S  1000   123   121  0  80   0 - 238147 do_epo pts/1   00:00:01 node
0 S  1000   137   123  0  80   0 - 212244 do_epo pts/1   00:00:00 node
0 S  1000   169   123  0  80   0 - 237485 do_epo pts/1   00:00:19 node
0 S  1000   188   169  0  80   0 - 138546 do_epo pts/1   00:00:00 node
0 R  1000 18757    10  0  80   0 -  2635 -      pts/0    00:00:00 ps
